CGPA,GPA,Average Assignment Marks,Average Project Marks,Attendance Percentage,Class Participation Credits,Extracurricular Activities,Achievements Credits,No. of Students in Class,Rank in Class,Certifications Count,Performance
9.01,6.85,88,91,71,68,0,19,76,17,7,68.44
9.39,8.1,80,29,68,2,0,82,44,27,14,75.05
7.16,6.53,55,61,95,93,1,86,57,47,14,89.25
6.73,7.31,44,66,79,90,1,48,88,57,11,75.59
6.19,6.68,54,18,99,62,1,10,57,14,0,50.15
8.34,7.92,15,64,98,3,1,99,80,36,9,75.7
9.0,7.36,79,94,99,54,1,47,41,3,0,72.98
9.14,7.55,45,46,78,29,1,18,46,7,5,56.33
7.49,6.43,30,86,84,31,1,64,93,24,2,65.34
7.45,6.38,67,24,80,38,0,24,74,25,8,55.08
8.01,9.39,45,54,69,48,1,77,84,13,16,84.47
6.93,6.18,82,21,96,54,0,28,95,61,0,54.9
8.55,7.59,38,41,93,53,1,43,34,4,2,66.28
6.2,7.13,31,75,75,59,0,57,41,31,11,69.32
5.69,6.7,57,91,81,7,1,83,59,55,6,64.82
8.14,9.7,98,87,73,68,1,69,35,6,10,89.18
7.95,6.86,30,70,55,24,1,68,51,10,18,72.68
7.06,7.97,56,91,89,8,0,34,32,21,13,58.87
5.52,8.5,97,57,50,83,1,34,48,5,3,68.39
7.66,8.21,79,56,97,39,1,28,95,29,17,68.0
6.5,6.05,87,93,95,100,1,31,35,6,12,76.01
8.09,7.52,50,34,92,31,0,84,58,3,5,74.44
8.45,5.15,97,37,67,33,0,72,70,50,6,68.82
5.31,7.79,22,35,92,98,0,84,93,71,14,84.17
5.09,6.29,10,19,54,37,0,58,100,57,9,55.64
6.01,5.29,31,63,80,84,1,46,63,38,14,69.41
8.74,6.69,41,65,65,60,1,91,84,12,2,81.78
5.72,7.82,83,55,90,66,0,92,37,37,5,80.52
5.55,5.61,99,31,54,16,0,72,66,33,6,59.82
7.08,5.18,76,84,52,42,0,44,32,4,1,59.36
7.29,5.44,15,74,76,73,1,20,48,22,16,62.99
9.04,9.43,57,83,57,69,1,57,71,11,20,88.85
6.87,5.26,47,38,64,72,0,38,72,55,19,66.68
8.26,6.96,64,22,96,85,0,1,43,10,9,61.58
7.7,7.11,93,81,92,64,1,86,39,14,15,90.1
6.76,5.61,46,28,87,85,0,27,93,78,14,64.0
5.49,9.07,98,87,55,95,0,60,83,47,7,82.01
8.37,6.04,54,71,67,9,0,81,40,6,13,72.05
6.59,9.11,87,92,54,97,0,16,67,33,7,71.19
6.14,9.49,37,97,56,91,1,19,76,6,9,70.47
7.35,9.0,96,45,84,9,0,3,38,34,10,49.5
8.41,7.34,12,96,92,57,1,36,50,21,13,70.4
8.82,7.9,11,76,84,86,1,21,40,11,15,73.56
7.87,6.05,62,52,84,39,0,43,38,1,15,66.91
7.43,5.9,31,79,57,51,1,28,38,33,16,61.5
5.51,8.97,71,34,93,79,0,27,35,18,14,68.63
9.31,9.61,30,47,51,37,1,29,89,52,16,67.76
8.43,6.42,57,24,100,13,0,86,48,40,18,74.53
5.33,8.24,67,76,69,26,1,71,35,21,16,71.9
5.2,7.44,87,59,90,15,0,24,68,56,10,50.63
9.34,6.93,23,62,73,66,0,36,54,1,15,73.02
7.79,9.41,49,23,84,48,1,46,41,14,8,69.3
8.87,9.0,15,63,100,43,0,47,53,53,12,70.85
9.29,9.75,68,22,61,19,0,23,96,41,0,55.71
6.97,5.55,84,93,72,8,0,87,67,60,5,67.45
7.16,5.6,42,85,94,19,0,41,76,10,5,55.92
7.39,7.66,75,76,57,89,1,39,78,47,13,77.29
8.01,8.07,19,89,60,7,1,37,44,32,15,59.8
9.32,6.47,25,54,66,41,1,1,92,76,2,48.07
8.43,9.1,51,100,52,83,0,86,88,30,16,96.41
6.79,6.76,95,94,56,43,1,74,96,16,10,77.27
7.17,7.25,84,30,88,11,0,66,45,3,17,69.64
8.78,8.16,71,25,94,54,1,0,69,68,13,59.02
7.23,5.25,94,72,82,1,1,77,71,46,20,70.88
5.93,6.51,94,38,79,79,0,95,78,26,7,84.19
7.79,7.55,33,79,57,8,1,24,30,18,4,49.89
5.9,7.81,98,17,88,46,1,69,92,92,3,67.83
8.27,5.2,84,53,99,57,1,2,88,81,17,58.68
6.55,8.32,20,30,90,4,1,23,58,56,0,42.25
9.12,8.69,45,76,64,11,1,100,44,27,13,83.42
9.02,6.68,20,51,61,63,0,12,76,68,14,60.22
6.24,7.03,85,19,83,22,1,26,85,65,20,56.93
6.3,8.29,60,33,84,48,1,78,96,50,8,74.78
8.86,8.55,69,76,100,96,1,18,48,3,13,79.34
8.33,6.97,66,31,64,72,0,33,73,46,9,67.39
9.28,6.33,41,52,75,91,1,92,54,39,15,93.49
6.13,9.43,40,67,86,41,0,2,71,60,19,56.61
7.59,6.51,34,76,65,83,0,20,74,17,3,62.26
8.49,7.23,98,64,88,2,1,51,35,23,3,61.06
8.75,8.85,64,29,93,39,1,40,40,18,2,65.02
7.65,7.89,45,26,88,34,0,28,54,15,10,58.68
6.45,8.15,96,12,74,51,1,86,38,16,1,75.35
6.24,8.45,70,25,64,86,0,13,66,61,18,65.85
9.23,8.58,80,11,91,73,1,30,70,11,18,77.77
6.34,6.92,56,92,74,97,0,71,86,9,12,85.88
5.04,5.77,59,13,77,53,0,31,30,18,12,54.35
9.33,9.15,95,35,56,10,1,97,97,7,10,83.63
5.94,8.7,11,62,95,88,1,69,99,46,2,76.87
7.2,6.48,74,100,100,8,1,13,90,10,8,51.51
6.51,6.01,14,57,78,76,1,4,31,7,6,52.92
8.09,7.93,65,50,79,95,0,86,93,90,0,85.94
7.75,7.74,80,48,65,51,0,48,41,11,18,74.62
8.75,7.18,59,65,74,78,0,70,93,62,12,84.38
7.42,7.3,40,90,55,82,0,33,83,79,18,73.25
8.12,9.8,33,25,60,77,0,30,97,83,18,73.32
7.27,8.35,67,75,71,50,0,48,99,16,16,74.75
6.58,7.64,51,60,89,70,1,89,73,43,11,84.68
7.0,5.77,28,28,86,1,0,16,98,11,20,47.35
8.6,7.72,18,21,89,8,0,81,69,7,10,69.71
9.3,6.83,68,75,90,20,1,40,49,27,6,63.15
8.98,8.87,37,55,100,12,1,33,34,21,11,61.81
7.1,6.51,74,22,79,97,1,41,58,46,19,76.99
6.64,5.41,82,51,79,34,0,82,93,35,20,76.54
8.98,5.92,56,29,62,51,0,2,46,22,3,49.85
9.14,6.61,38,24,68,38,0,80,49,9,9,74.86
5.47,8.86,33,49,66,30,0,52,51,26,3,58.26
5.73,8.76,53,72,69,11,0,39,32,10,8,56.1
9.13,8.53,29,27,50,2,1,5,58,50,4,43.27
6.37,5.69,87,96,82,15,1,78,58,14,19,74.54
9.13,7.71,68,98,71,1,1,82,44,27,3,72.22
9.3,5.62,54,31,69,6,0,50,98,4,17,63.15
9.13,9.41,58,50,80,66,1,97,98,36,14,96.14
8.56,8.67,33,88,55,0,0,29,89,28,19,61.06
7.65,8.39,28,12,73,80,1,12,64,23,19,66.6
6.9,9.11,46,58,62,37,0,32,80,36,20,66.42
7.39,6.31,67,79,88,64,0,51,89,24,8,72.08
9.26,5.96,72,84,93,76,1,53,36,28,12,80.43
5.63,6.55,48,86,89,35,0,31,77,62,14,57.56
8.25,9.45,50,66,80,19,1,75,36,21,15,78.23
7.94,6.48,95,68,88,70,1,55,52,43,17,80.4
8.42,5.72,46,36,66,38,0,95,71,1,13,79.79
9.27,9.32,51,16,71,70,0,59,64,4,8,80.28
5.75,8.62,91,69,54,40,1,32,36,29,3,58.27
9.35,7.27,22,63,67,24,1,78,88,47,8,73.34
5.06,5.66,26,77,96,39,0,59,39,9,1,57.85
9.18,5.35,100,40,81,26,0,98,41,23,4,77.37
7.18,5.48,22,32,64,35,1,47,57,9,7,57.13
7.61,8.46,28,34,73,3,0,26,50,14,12,52.4
7.67,7.42,100,99,77,22,0,71,70,38,6,72.92
9.16,6.31,55,94,83,47,1,1,65,6,14,60.75
5.63,7.93,98,62,85,93,1,80,59,26,8,86.85
7.24,9.79,71,69,88,91,0,45,78,10,7,81.08
6.78,5.07,37,85,54,11,0,0,94,42,19,44.34
5.58,7.33,61,66,71,89,0,65,49,43,20,82.15
7.6,7.96,24,34,74,85,1,21,57,46,1,60.97
7.6,7.5,51,60,57,99,0,74,32,13,14,88.4
6.1,5.81,40,26,64,94,0,80,42,20,5,76.35
6.69,9.08,23,23,62,20,0,36,37,5,20,61.02
9.39,6.19,60,90,62,74,0,32,75,57,16,74.37
9.14,6.26,58,14,53,6,1,48,70,44,14,59.68
5.19,7.77,29,29,100,95,0,33,47,46,8,64.66
8.16,9.44,54,13,78,72,0,77,91,72,4,80.66
7.28,8.36,11,100,91,93,1,61,68,9,2,80.53
9.17,9.46,62,40,55,74,0,71,59,57,14,86.98
5.58,6.21,80,73,79,72,0,32,39,26,6,62.2
7.91,6.06,11,12,71,87,1,99,57,27,12,86.49
7.11,8.03,24,59,62,39,1,92,86,22,14,80.6
6.82,6.99,89,93,54,82,0,37,32,23,5,69.98
8.98,7.16,10,89,59,81,0,2,60,27,1,58.08
6.68,8.25,36,90,53,84,1,69,38,10,16,85.58
6.72,7.65,15,19,68,87,1,61,41,39,15,75.96
7.28,9.19,50,67,70,78,1,25,64,57,10,69.49
8.09,7.82,62,65,75,90,1,81,40,14,0,85.68
8.31,6.85,84,18,78,17,0,41,43,7,12,61.35
8.41,5.28,79,70,76,10,1,63,73,52,7,63.51
7.53,8.14,74,68,61,29,0,62,59,37,1,66.21
8.94,7.07,49,65,91,78,0,76,63,60,10,84.78
8.95,7.82,41,50,82,76,0,24,77,37,6,67.42
8.2,5.9,74,88,64,14,1,76,54,34,4,68.04
6.4,6.86,44,87,87,31,1,50,35,6,17,67.83
7.04,9.0,23,15,95,28,1,87,90,23,0,70.15
5.22,6.26,54,80,84,66,0,90,49,32,14,80.88
9.42,7.75,25,44,100,48,1,20,92,61,2,58.68
8.34,8.69,15,31,95,8,1,13,57,31,11,50.61
6.7,8.64,50,75,61,52,0,45,61,43,10,68.1
6.76,8.89,83,62,64,85,0,41,37,21,19,80.2
6.28,6.44,60,24,56,64,0,36,63,20,7,60.2
6.66,6.93,18,18,93,14,0,77,66,29,13,64.92
8.25,7.84,60,53,88,52,0,17,56,36,15,64.19
9.24,5.79,33,12,55,2,1,82,40,9,4,63.33
5.07,9.15,82,79,97,83,1,74,79,6,6,84.22
8.65,8.87,20,72,87,46,0,20,54,33,20,67.67
7.38,7.64,47,29,68,60,0,10,64,53,5,53.58
7.13,6.68,25,97,68,55,0,41,75,69,20,69.36
5.91,5.43,33,31,90,22,0,59,62,17,5,55.05
6.85,8.83,99,60,71,47,1,88,41,4,9,84.52
5.28,5.11,94,10,58,97,0,14,69,44,9,57.44
9.48,9.0,11,58,88,55,1,40,58,22,19,76.88
9.48,8.18,68,17,91,48,0,19,44,43,20,67.2
7.04,7.25,49,79,71,81,0,5,58,23,4,58.7
7.92,6.99,31,85,77,55,0,5,42,22,7,55.29
5.85,6.88,86,50,96,96,1,73,34,25,15,85.63
9.3,5.57,45,63,56,3,1,47,80,36,14,60.48
6.4,9.2,24,35,70,68,1,75,49,39,12,78.67
7.94,5.45,98,56,68,55,1,54,84,29,12,72.78
8.93,9.69,55,44,80,63,0,59,81,29,17,84.45
5.49,9.37,86,54,72,22,0,95,44,29,13,78.53
8.86,9.18,86,97,82,71,0,36,81,57,5,76.43
9.13,5.49,58,86,73,53,0,80,84,47,11,80.98
7.2,6.2,10,75,85,69,1,67,70,29,5,72.53
5.9,6.57,58,77,59,90,1,26,81,35,13,68.11
9.12,7.07,93,40,59,41,0,5,30,16,1,52.5
6.27,8.0,87,97,72,42,1,25,59,43,15,64.45
7.97,9.67,76,92,86,92,0,68,81,71,13,92.23
9.32,5.21,49,10,96,7,0,89,76,59,2,65.11
5.33,6.8,55,85,74,97,1,98,74,25,17,93.63
5.58,6.59,51,52,57,3,1,24,88,52,4,42.07
8.9,5.54,23,31,68,60,1,7,52,37,4,51.27
6.28,9.13,66,32,92,10,0,47,92,30,20,65.02
9.43,9.15,21,80,90,79,1,92,85,33,1,91.21
5.21,9.08,41,86,88,3,1,74,44,25,17,69.45
9.18,7.15,15,59,100,69,0,82,79,55,5,81.61
6.21,7.16,51,15,89,66,1,69,81,51,6,71.1
6.07,6.61,74,96,98,22,1,99,45,41,9,76.78
6.84,8.63,74,93,69,14,0,54,49,29,8,65.14
6.19,5.35,94,80,54,27,0,33,94,82,9,54.19
7.46,8.32,82,97,95,4,0,30,81,55,15,61.18
8.99,8.93,88,77,69,6,1,95,85,64,18,85.72
8.42,6.75,88,75,71,15,1,29,85,33,15,61.95
6.81,8.65,66,20,52,57,1,41,100,3,10,67.73
7.78,9.48,96,56,55,68,1,36,46,32,16,77.11
7.06,5.3,90,22,91,92,0,72,30,13,14,82.55
7.27,8.76,83,14,59,49,1,32,73,7,9,64.69
7.64,7.47,70,24,73,76,0,62,93,6,14,80.33
6.96,6.83,58,32,76,81,1,44,97,64,13,71.83
5.57,8.48,53,33,92,83,0,90,62,14,18,89.42
5.32,7.12,45,17,75,46,0,83,31,1,5,69.01
6.47,5.51,97,46,77,37,0,93,71,4,4,73.99
7.03,6.78,38,71,92,89,0,59,77,14,10,78.99
6.52,9.26,38,40,97,64,0,21,48,40,2,58.38
5.01,8.18,38,85,90,57,0,1,53,19,5,50.7
7.86,5.18,59,63,64,1,1,5,74,36,12,43.6
5.77,8.97,41,82,59,69,1,99,69,7,14,90.37
6.09,8.06,98,83,56,25,0,52,71,21,2,62.5
5.32,6.9,32,30,67,53,1,72,46,29,3,64.58
9.18,7.31,82,34,89,15,1,18,71,3,3,54.17
9.18,8.17,84,62,61,62,1,70,82,81,15,85.59
5.36,6.0,90,86,95,20,1,26,94,41,16,56.29
7.37,6.7,72,84,79,73,1,82,41,13,13,87.05
8.35,5.75,64,27,53,65,1,53,84,32,12,71.75
5.78,5.31,52,50,89,96,1,26,66,8,0,60.62
7.15,8.09,26,36,90,99,1,23,34,12,15,72.3
8.75,8.1,30,59,95,35,0,71,96,11,11,76.79
8.1,6.71,17,69,69,71,0,57,44,11,15,76.86
6.32,8.81,12,19,50,60,0,38,45,45,1,56.41
7.93,5.74,100,84,99,89,1,71,84,24,8,86.54
5.41,8.58,60,83,69,52,0,48,31,6,17,72.05
8.29,9.2,76,95,59,93,1,38,60,24,1,78.33
9.3,6.33,77,26,97,6,0,72,43,27,19,72.59
9.32,8.63,20,51,88,19,0,80,77,9,8,75.59
8.34,7.35,98,67,72,44,1,56,55,38,4,71.31
9.28,9.47,43,11,92,65,0,94,86,30,12,91.36
8.32,5.49,49,13,67,96,0,84,55,24,8,83.49
8.42,5.0,13,66,85,49,0,41,62,6,18,67.04
6.28,8.48,24,48,58,85,1,13,54,20,9,61.78
7.08,8.62,48,11,55,43,0,36,51,12,20,66.14
7.3,7.78,57,59,50,73,1,85,89,57,17,87.56
7.93,8.18,65,20,64,60,0,38,49,25,4,64.85
6.72,9.71,34,52,90,82,0,9,42,25,14,66.19
6.01,6.51,52,56,63,51,0,36,89,36,20,64.62
5.18,6.07,82,78,72,83,0,57,93,57,9,72.77
7.5,7.4,84,89,99,27,0,60,35,2,9,72.06
6.02,9.11,36,97,93,33,0,63,30,18,17,74.09
7.24,8.81,87,15,70,97,1,37,89,72,2,71.92
6.05,5.24,19,61,94,46,0,74,88,83,15,68.83
6.68,5.81,42,62,68,66,0,40,47,10,13,66.25
7.14,5.29,92,71,80,96,0,55,56,35,1,74.25
6.84,9.03,86,66,81,39,0,11,37,3,19,63.96
7.35,5.99,59,46,74,43,0,74,96,33,1,67.74
9.06,5.17,69,22,59,93,0,3,34,9,12,62.88
7.86,7.56,63,61,53,30,0,69,74,30,3,68.44
7.48,9.75,75,36,80,47,0,62,49,13,18,80.46
8.13,5.7,29,58,53,13,1,33,66,61,14,53.65
5.48,7.9,59,97,100,19,0,58,66,26,4,62.28
8.98,6.36,13,42,80,78,0,67,35,15,14,80.32
8.12,7.37,37,14,77,26,0,15,83,52,0,46.04
5.87,5.12,42,45,52,92,1,48,69,42,1,63.57
5.83,5.9,42,55,74,85,0,13,38,25,14,59.59
8.78,5.41,83,64,80,92,0,2,90,68,7,62.54
8.62,6.45,69,33,78,68,0,19,80,38,20,68.36
7.92,6.86,48,13,64,9,1,10,93,82,19,48.71
8.72,9.69,91,28,55,50,1,57,54,54,18,80.41
9.43,9.52,42,56,78,26,0,56,85,42,17,76.09
6.08,5.89,91,77,71,21,0,47,46,6,1,56.07
7.44,9.76,70,74,84,56,1,81,81,43,8,85.17
7.4,9.63,78,38,68,76,0,72,40,29,0,79.43
5.37,8.99,71,40,96,95,0,14,31,1,1,63.16
6.77,8.16,22,90,51,45,0,58,66,65,7,66.75
7.54,9.02,54,73,87,20,1,62,42,42,13,71.17
8.09,6.48,21,19,64,37,1,83,40,29,8,70.47
6.7,9.22,79,73,83,61,0,17,55,41,1,60.34
5.59,7.96,56,31,93,56,0,92,98,49,20,83.92
7.57,5.67,61,47,62,22,0,95,55,54,0,67.42
6.94,8.38,58,23,68,15,1,94,96,11,6,73.03
7.78,7.27,43,16,60,40,0,41,56,21,16,64.12
5.89,8.92,46,57,56,20,0,20,86,27,11,52.54
8.41,9.8,61,33,96,36,0,89,52,11,18,88.11
6.95,8.05,38,49,87,69,0,22,84,82,19,66.5
8.26,7.89,22,82,97,66,0,6,51,36,12,62.08
5.13,5.37,46,41,81,66,1,84,41,1,15,77.0
7.01,6.97,97,41,59,61,1,78,32,1,12,81.54
7.42,7.76,100,94,99,91,1,73,62,6,6,90.03
9.03,7.32,61,54,89,60,1,65,33,5,7,79.22
8.91,8.17,45,38,77,87,0,48,91,2,18,83.74
9.38,9.29,23,76,61,6,0,99,44,10,14,83.2
5.34,9.08,71,65,93,44,0,95,56,21,16,84.9
6.57,8.9,41,19,92,43,1,9,50,31,17,56.75
8.06,8.63,67,88,66,59,0,36,58,34,11,72.3
6.92,7.17,82,80,93,79,1,61,86,51,13,81.93
8.86,9.35,74,52,82,83,1,59,54,48,10,85.4
6.72,7.37,74,28,66,67,1,75,63,2,17,82.51
6.45,9.28,86,33,92,43,1,64,52,15,11,75.21
7.1,7.99,35,36,67,59,1,37,32,22,0,59.72
7.33,7.18,97,73,98,73,1,44,94,80,11,75.42
6.43,6.48,79,33,54,61,0,33,89,49,9,60.97
9.25,7.58,10,20,54,83,1,58,71,9,0,73.51
9.39,9.75,48,27,83,18,0,75,31,19,5,73.37
5.72,8.72,19,21,61,45,0,38,48,48,11,57.5
5.5,7.22,10,27,97,54,1,21,46,39,17,55.9
7.76,6.19,25,70,92,17,1,15,42,2,7,49.58
6.36,9.4,51,83,89,32,0,96,97,86,19,85.34
6.68,7.78,55,80,64,21,0,67,91,63,0,62.73
6.17,6.05,33,71,76,98,0,41,90,8,20,76.5
5.08,8.17,29,73,51,83,0,99,50,25,7,84.26
7.98,5.59,50,87,51,51,0,100,40,36,18,85.8
5.86,5.58,37,99,83,62,0,1,64,28,1,47.49
6.62,7.68,75,82,80,38,0,77,88,22,12,77.6
7.62,5.28,34,87,96,15,1,11,91,88,12,47.9
6.99,6.85,34,30,91,77,0,19,77,1,17,65.45
7.21,8.35,17,18,75,91,1,74,65,56,18,84.92
5.1,6.04,46,71,81,89,0,39,89,38,3,63.75
9.37,7.11,24,79,55,6,0,31,82,47,16,58.88
7.32,8.88,61,57,72,3,1,12,100,96,20,54.08
9.31,7.68,75,48,89,83,0,68,81,42,19,90.98
5.02,5.77,19,86,90,44,1,70,43,5,9,66.83
5.04,8.75,45,51,99,46,1,76,35,6,13,75.79
7.47,5.33,84,32,74,35,1,53,93,65,14,65.23
8.23,6.46,40,71,92,32,1,45,81,27,17,68.31
7.64,7.54,16,61,100,5,0,98,72,62,10,72.67
6.99,9.42,41,27,86,1,1,87,78,61,9,69.55
5.74,6.51,70,82,77,45,0,20,86,77,15,57.35
7.53,9.6,78,32,84,70,0,21,53,12,11,69.47
7.07,5.24,80,36,57,62,0,3,59,51,13,52.74
5.33,6.15,93,83,83,97,0,46,82,30,7,73.72
6.33,7.36,53,26,70,58,1,73,87,12,6,72.51
7.55,5.94,42,72,96,1,0,58,57,23,16,62.64
9.06,7.22,47,61,64,17,0,55,51,45,0,60.27
5.58,6.15,88,78,52,22,1,34,70,36,11,55.3
8.94,5.45,25,100,74,85,1,91,38,17,20,94.54
7.02,7.65,75,94,73,15,1,72,32,31,12,71.26
8.73,9.5,29,11,64,79,0,26,68,29,14,71.5
9.33,9.64,100,45,57,69,0,84,57,2,10,93.38
9.27,7.51,15,67,62,83,0,84,52,33,10,87.67
7.64,5.76,76,75,68,85,1,9,69,4,0,60.05
6.39,5.39,60,66,86,41,1,55,75,38,2,60.65
8.03,9.58,29,37,83,16,0,40,50,30,13,62.47
6.19,8.14,48,41,74,84,0,71,54,33,4,76.54
8.58,8.89,58,71,51,87,1,62,32,28,0,80.19
5.87,8.67,32,86,55,42,1,24,74,5,20,64.07
5.37,7.94,27,37,54,12,0,97,64,13,19,73.34
8.69,6.72,74,36,75,25,1,47,94,36,1,60.5
6.71,8.79,71,89,89,92,1,37,62,39,12,78.86
6.18,8.67,58,75,53,58,0,11,100,79,14,59.85
5.46,9.58,22,46,96,38,0,5,81,20,14,52.89
7.61,5.78,77,22,75,73,0,93,66,53,10,82.88
5.15,5.59,59,55,71,39,1,29,95,89,8,50.7
5.51,6.85,64,84,51,34,0,37,88,22,18,62.2
8.66,7.32,88,26,68,0,1,97,67,37,4,72.48
9.04,9.04,57,13,85,29,0,74,84,19,8,75.55
6.98,9.46,36,10,94,6,0,33,88,77,4,50.12
7.58,5.0,100,58,79,26,0,95,96,78,5,73.34
5.25,6.9,51,82,54,49,0,63,41,9,3,64.98
5.8,5.96,79,58,95,16,1,64,97,75,3,58.67
6.74,6.2,32,54,85,25,0,87,99,73,2,65.83
8.36,5.01,29,63,59,80,1,85,31,15,16,85.32
9.46,5.36,71,97,93,87,1,74,78,18,16,92.42
6.07,5.74,27,28,53,63,0,51,46,25,10,62.06
6.47,9.5,13,78,70,5,0,86,68,48,13,71.52
6.42,7.0,30,33,55,11,1,8,49,42,17,44.54
5.96,9.52,34,55,93,42,0,68,43,34,10,71.78
8.83,6.17,92,75,99,64,1,21,93,56,17,71.25
6.09,6.38,63,24,59,85,1,43,58,47,20,72.0
5.68,9.61,93,63,54,57,0,98,79,60,6,84.33
5.11,9.8,21,35,68,3,1,23,73,45,0,42.0
6.76,9.56,73,91,83,78,1,9,99,88,10,67.28
9.45,9.65,58,14,79,24,1,9,94,86,19,60.59
7.84,8.48,72,22,74,60,1,12,71,27,20,66.51
6.42,6.75,31,64,64,47,0,24,42,9,6,54.47
6.71,6.73,68,45,54,80,0,42,32,14,13,70.95
5.04,5.47,76,67,67,23,1,60,47,25,11,60.28
7.39,9.68,40,18,88,37,0,87,76,24,5,76.6
8.32,7.01,71,78,62,10,1,80,71,20,5,71.07
8.62,8.09,72,46,68,99,1,60,64,44,16,88.81
7.51,9.46,84,57,68,50,0,88,32,23,5,82.62
8.65,6.17,66,79,100,20,0,46,52,25,10,64.53
5.87,6.2,15,63,51,56,1,15,58,45,4,48.3
8.37,5.98,10,25,99,86,0,75,73,71,1,74.51
6.97,6.55,46,51,76,74,1,88,67,52,18,85.81
5.41,8.93,89,72,68,83,0,11,88,30,5,62.8
7.22,9.26,79,65,85,38,1,18,70,27,18,66.02
6.53,6.36,27,43,54,6,1,61,31,29,10,55.62
5.13,9.15,10,87,74,61,0,38,98,20,6,63.56
8.73,5.59,15,73,51,53,0,5,53,45,18,56.16
6.62,7.48,21,73,98,72,0,47,49,42,3,66.51
6.62,9.18,78,68,72,27,0,100,31,11,15,85.16
8.25,6.27,56,23,53,82,0,22,37,24,20,68.56
6.26,9.74,89,60,55,13,0,10,78,15,19,56.9
8.22,5.25,99,39,67,43,0,40,58,51,20,67.35
8.56,9.08,28,42,85,13,1,55,35,1,7,65.94
8.37,8.53,88,51,82,2,1,52,52,47,6,62.67
8.18,7.47,36,91,61,50,0,74,68,32,18,82.1
8.76,7.29,74,58,57,50,1,67,68,23,6,76.1
5.26,8.6,23,44,82,29,1,42,69,42,6,55.47
9.49,7.99,19,13,93,34,0,11,52,36,3,51.15
5.48,8.56,53,85,65,25,1,28,99,91,4,52.55
7.42,7.64,10,82,89,10,1,83,51,36,11,70.67
5.29,7.21,39,65,71,14,0,29,97,85,4,45.72
8.4,6.61,36,93,72,38,0,90,82,5,5,78.71
5.55,7.06,98,96,92,54,1,72,66,19,0,73.31
9.48,9.76,30,31,53,91,0,55,97,47,7,82.24
6.49,7.74,11,71,68,11,0,63,67,11,9,61.6
7.93,6.52,48,12,97,17,1,19,32,9,7,49.33
6.1,6.8,91,19,52,80,0,59,72,24,14,75.45
6.19,5.28,31,62,66,14,1,40,55,25,14,53.1
8.5,8.04,39,54,52,18,0,0,37,35,1,43.02
7.47,6.81,78,80,63,45,0,10,71,65,6,53.99
9.38,8.34,28,76,85,41,1,89,100,18,13,87.06
7.37,7.16,46,75,70,52,1,63,54,11,17,77.53
7.59,5.15,60,85,54,79,1,100,56,44,18,91.4
9.21,6.19,24,63,79,60,1,58,81,26,10,74.62
5.35,6.41,96,45,97,16,1,52,63,37,14,60.81
8.87,9.45,21,80,77,49,1,45,53,47,9,72.14
6.54,7.01,91,25,53,66,1,70,88,15,15,78.87
9.17,5.22,31,95,52,92,0,90,98,79,12,89.98
5.61,9.23,59,78,89,4,1,66,37,23,16,68.32
7.32,6.6,10,30,70,24,0,33,32,30,3,47.93
6.58,5.94,35,32,94,48,0,35,60,14,6,56.34
6.11,6.63,19,91,99,98,1,71,53,6,2,79.46
8.76,8.55,42,89,53,7,0,32,39,37,5,55.99
7.82,9.62,52,15,58,25,0,64,50,48,9,67.76
7.74,9.05,80,66,88,87,1,13,71,61,14,72.68
5.59,6.38,34,71,73,22,1,55,81,21,18,63.27
9.45,8.39,57,52,53,45,1,0,70,51,11,57.97
6.39,7.51,90,77,62,21,1,92,30,21,3,72.93
6.6,9.42,66,22,70,63,0,77,43,35,19,83.5
6.76,7.58,58,69,57,37,0,7,97,84,17,54.62
5.47,7.44,64,93,65,63,1,44,41,22,14,70.21
8.07,9.43,27,79,87,47,1,69,37,34,14,80.24
7.69,5.8,21,10,52,30,0,15,54,50,18,49.16
8.29,5.83,47,39,55,98,1,1,55,16,19,66.16
7.76,5.03,14,69,82,63,0,30,76,60,2,56.15
7.68,8.19,68,66,92,83,1,75,33,25,18,90.73
9.17,5.38,86,79,69,91,1,17,100,17,4,68.77
7.76,8.39,43,40,69,12,0,82,90,14,15,74.34
9.28,7.69,10,44,53,46,0,12,42,39,6,53.8
8.55,5.98,11,76,99,33,1,3,30,19,17,53.71
5.1,7.48,23,51,60,40,1,72,32,29,16,68.38
5.03,7.29,78,79,70,79,1,58,78,2,10,76.13
5.32,8.42,91,55,93,21,1,87,97,90,6,71.44
7.75,6.28,77,93,77,46,1,78,39,11,18,83.45
5.75,7.85,59,14,70,49,0,59,89,44,15,68.6
9.42,5.99,50,97,97,39,1,82,65,47,14,82.6
5.52,7.55,97,65,63,31,0,1,58,47,8,46.93
6.95,8.04,95,74,97,48,1,25,33,21,12,65.97
7.99,8.67,46,78,50,43,1,22,54,12,2,59.35
9.23,7.69,28,90,85,99,0,78,41,4,14,95.43
5.35,7.74,43,85,74,25,0,90,67,56,9,71.6
8.59,6.98,57,21,56,64,1,44,46,20,15,72.07
9.14,6.26,30,27,82,26,0,3,79,34,9,47.88
8.24,7.8,91,52,57,24,0,35,72,3,20,68.21
8.28,5.63,26,95,65,5,1,2,42,16,6,42.55
5.27,7.61,99,82,90,18,0,6,63,10,0,45.03
8.75,5.1,43,51,84,68,0,61,49,46,19,77.28
